TABC Certificate Number,Permit/License Number,Brand Name,Type,Approval Date,Trade Name,Alcohol Content by Volume,TTB Number,File Link
1099648,S916435,"LA GERBELLE CHIGNIN WHITE WINE SAVOIE AOP, FRANCE",WINE,10/23/2020,T. EDWARD WINES LTD,11.5,18184001001012,https://storage.googleapis.com/tabc-public-labels/da534dc2b8e676a0e00a4e2be6d28f86.pdf
1052884,S442977,"LA GERBELLE CHIGNIN WHITE WINE SAVOIE, F",WINE,05/02/2019,USA WINE IMPORTS INC.,11.5,18184001001012,https://storage.googleapis.com/tabc-public-labels/cc7ac5e154ec63f4c179760800a78d47.pdf
1052885,S442977,"LA GERBELLE MATERIA RED WINE SAVOIE, FRA",WINE,05/02/2019,USA WINE IMPORTS INC.,11.5,18184001001009,https://storage.googleapis.com/tabc-public-labels/3c81759638421480476cdc2e16c09536.pdf
916484,S447507,LA GIOIOSA BRUT,WINE,08/06/2015,MHW LTD.,11.5,15070001000058,https://storage.googleapis.com/tabc-public-labels/a49fdb3086420aa3051cb330ce0ea405.pdf
1042449,S770434,LA GRANGE AUX BELLES COUP DE LATTE SPARK,WINE,01/16/2019,T. ELENTENY IMPORTS,11.5,18093001000065,https://storage.googleapis.com/tabc-public-labels/8245a5c2d2215b2ae0241aa938b98b91.pdf
847745,S702920,LA GRANJA,WINE,08/05/2013,EVAKI INC.,11.5,13155001000396,https://storage.googleapis.com/tabc-public-labels/d9a01a04aa981c1ca226e532217c2829.pdf
684450,S469231,LA HITAIRE-LES TOURS,WINE,02/19/2008,ROBERT KACHER SELECTIONS,11.5,7023001000143,https://storage.googleapis.com/tabc-public-labels/7b2294e086b8cb3b39cb8d70db1818d5.pdf
810135,S621442,LA JARA ORGANIC,WINE,06/11/2012,USA WINE WEST LLC,11.5,11104001000311,https://storage.googleapis.com/tabc-public-labels/49a22bf943448e4fc85bbb125b93acd7.pdf
810136,S621442,LA JARA ORGANIC ROSE',WINE,06/11/2012,USA WINE WEST LLC,11.5,11158001000116,https://storage.googleapis.com/tabc-public-labels/62255f5fe0a53c41867287a4970fa778.pdf
810134,S621442,LA JARA ORGANIC ZERO ASSOLUT,WINE,06/11/2012,USA WINE WEST LLC,11.5,11067001000076,https://storage.googleapis.com/tabc-public-labels/f9bbfe6aa571aedc3df0948e1d7fe240.pdf
999651,S403619,LA JOLIE BLANC DE BLANCS,WINE,11/07/2017,JEAN CLAUDE BOISSET WINES USA INC.,11.5,17272001000307,https://storage.googleapis.com/tabc-public-labels/3eb979899a15dde1a18ae407c17349e3.pdf
758373,S403619,LA JOLIE BLANC DE BLANCS BRUT,WINE,09/29/2010,JEAN CLAUDE BOISSET WINES USA INC.,11.5,10218001000314,https://storage.googleapis.com/tabc-public-labels/d1f2b9b49b2883e1c6098072d4ae95c0.pdf
999649,S403619,LA JOLIE BRUT ROSE,WINE,11/07/2017,JEAN CLAUDE BOISSET WINES USA INC.,11.5,17272001000310,https://storage.googleapis.com/tabc-public-labels/f9e49a6c1a6becf77cbd05e55779197c.pdf
659253,S621442,LA MODA,WINE,05/07/2007,USA WINE WEST LLC,11.5,7059000000060,https://storage.googleapis.com/tabc-public-labels/2a040b83b92d03ddd234195b3b5f0cb5.pdf
659258,S621442,LA MODA (BLUSH),WINE,05/07/2007,USA WINE WEST LLC,11.5,7059000000061,https://storage.googleapis.com/tabc-public-labels/90ab5a27da57d9e0a2199e5d6ce69091.pdf
1052442,S770434,"LA PEPEE, PINOT NOIR WINE, ARBOIS, FRANC",WINE,04/29/2019,T. ELENTENY IMPORTS,11.5,17264001000922,https://storage.googleapis.com/tabc-public-labels/a82cc51204c05c808a5d1cefb4ffae58.pdf
1099088,S447507,LA PEPICA WHITE BLEND SPAIN,WINE,10/16/2020,MHW LTD.,11.5,20141001000911,https://storage.googleapis.com/tabc-public-labels/9bd9ded16e345f75902f7d2b1c5f4d16.pdf
635188,S238926,LA PLAYA LATE HARVEST,WINE,08/02/2006,CABERNET CORP.,11.5,5098000000073,https://storage.googleapis.com/tabc-public-labels/3e00cf72cc50f7674fb6b38c15740fc3.pdf
831691,S640072,LA QUERCIA RIFLESSI,WINE,02/13/2013,SMALL VINEYARDS/LARGO WINES,11.5,7194001000199,https://storage.googleapis.com/tabc-public-labels/8e31f0948130677a245d1e36aaea32e3.pdf
1048574,S634890,"LA SCOLCA 2006 'D'ANTAN' WHITE WINE, ITA",WINE,03/27/2019,LAPHAM IMPORT COMPANY,11.5,19031001000442,https://storage.googleapis.com/tabc-public-labels/65ae1282e652582ddedf40fd4f213724.pdf
956074,S760614,LA TORDERA,WINE,08/30/2016,TREASURY WINE ESTATES AMERICAS COMPANY,11.5,15023001000575,https://storage.googleapis.com/tabc-public-labels/299aaf117914f6c0808063ec3b64e97a.pdf
956075,S760614,LA TORDERA,WINE,08/30/2016,TREASURY WINE ESTATES AMERICAS COMPANY,11.5,15023001000588,https://storage.googleapis.com/tabc-public-labels/71a804af2549e78ada8a4413604f00ac.pdf
956076,S760614,LA TORDERA,WINE,08/30/2016,TREASURY WINE ESTATES AMERICAS COMPANY,11.5,15023001000589,https://storage.googleapis.com/tabc-public-labels/90be78bcde4cad2024c0acdf9d6c4319.pdf
900505,S447174,LA TORDERA,WINE,03/11/2015,DIAGEO CHATEAU & ESTATE WINES COMPANY,11.5,15023001000589,https://storage.googleapis.com/tabc-public-labels/17ecafdb56f8d93940c0b914cee82983.pdf
900504,S447174,LA TORDERA,WINE,03/11/2015,DIAGEO CHATEAU & ESTATE WINES COMPANY,11.5,15023001000575,https://storage.googleapis.com/tabc-public-labels/ee1d613d264f4b6ea0e9d85075b998ff.pdf
900508,S447174,LA TORDERA,WINE,03/11/2015,DIAGEO CHATEAU & ESTATE WINES COMPANY,11.5,15023001000588,https://storage.googleapis.com/tabc-public-labels/fe3c9809b8d4ccef50738b66ce0c6eaf.pdf
829591,S813148,LA TORDERA BRUNEI -SAMPLE ONLY NOT FOR S,WINE,01/24/2013,GO POUCH BEVERAGES LLC,11.5,N/A,https://storage.googleapis.com/tabc-public-labels/3db0dcc15f6d3f4b8767276019e42155.pdf
829594,S813148,LA TORDERA CRU DEL TITTONI MILLESIMATO S,WINE,01/24/2013,GO POUCH BEVERAGES LLC,11.5,N/A,https://storage.googleapis.com/tabc-public-labels/7e2f6bbbb63e58c6eec0a3cf44c74fef.pdf
733669,S682474,LA TORDERA PROSECCO SUPERIORE DI CARTIZZ,WINE,10/07/2009,TESORI INC.,11.5,7107000000069,https://storage.googleapis.com/tabc-public-labels/0105d35f6b00f643bf6161666aa20975.pdf
829597,S813148,LA TORDERA SERRAI SAMPLE ONLY NOT FOR SA,WINE,01/24/2013,GO POUCH BEVERAGES LLC,11.5,N/A,https://storage.googleapis.com/tabc-public-labels/2ca4576221c8f3f2d64ea1d6b174f607.pdf
970226,S447507,LA TOSA,WINE,01/25/2017,MHW LTD.,11.5,13127001000085,https://storage.googleapis.com/tabc-public-labels/ba72e0d620e0b2a6c74eaefe4080913b.pdf
850446,S746407,LA VIDA AL CAMP,WINE,09/03/2013,JOSEP MARIA RAVENTOS I BLANC S.A.,11.5,13006001000050,https://storage.googleapis.com/tabc-public-labels/517333c366e2e37152804fcfd9c75e99.pdf
829603,S813148,LA VIGNE DI ALICE SAMPLE ONLY NOT FOR SA,WINE,01/24/2013,GO POUCH BEVERAGES LLC,11.5,N/A,https://storage.googleapis.com/tabc-public-labels/d3c7221837ef2426da30298af9317b74.pdf
1036891,S447507,LA VILLA SELECTION OF LA GIOIOSA PINOT G,WINE,11/09/2018,MHW LTD.,11.5,18065001000266,https://storage.googleapis.com/tabc-public-labels/1c1f8821431d9a5f898bee2eae42eeb0.pdf
910257,S787049,LA VINYETA GLOBAL WINE CO,WINE,06/08/2015,GLOBAL WINE TEXAS DISTRIBUTORS LLC,11.5,15069001000586,https://storage.googleapis.com/tabc-public-labels/4e9867071d0c7ec092fd64c3199671b8.pdf
999267,S877959,LA VITE,WINE,11/02/2017,CELLIER WINES DISTRIBUTING INC,11.5,16085001000197,https://storage.googleapis.com/tabc-public-labels/bae663851d4d3da13e6b72b788829037.pdf
1100460,S529064,"LA VOSTRA EXTRA DRY ROSE PROSECCO DOC, ITALY",WINE,11/04/2020,DEUTSCH FAMILY WINE SPIRITS,11.5,20258001000141,https://storage.googleapis.com/tabc-public-labels/cec16f3f3a7aed6e51279e11da632573.pdf
1006133,S529064,LA VOSTRA-EXTRA DRY ROSE SPARKLING,WINE,01/31/2018,DEUTSCH FAMILY WINE SPIRITS,11.5,17338001000209,https://storage.googleapis.com/tabc-public-labels/2a9a487c077c21ae028efff7664f8f4e.pdf
1126839,S258879,"LAB ROSE WINE VINHO VERDE DOC, PORTUGAL",WINE,08/02/2021,TRI VIN IMPORTS INC.,11.5,20051001000448,https://storage.googleapis.com/tabc-public-labels/7f765ff40df5a32cf05e6d3ae4a466d8.pdf
1094856,S963800,"LA-BRAVA SPARKLING WINE CAVA, SPAIN",WINE,08/04/2020,AMERICAN VINTNERS,11.5,20106001000085,https://storage.googleapis.com/tabc-public-labels/2c8f1ae310782a41db0e6e087411d9f5.pdf
804818,S556227,LACHETEAU,WINE,04/24/2012,PLUME RIDGE,11.5,11082001000586,https://storage.googleapis.com/tabc-public-labels/dce141a5a14d8eb7b3431d777d37e69a.pdf
831064,S828203,LADY LOLA,WINE,02/08/2013,ENOVATION BRANDS INC.,11.5,12361001000158,https://storage.googleapis.com/tabc-public-labels/334d2844a1df240c953166dd302f9640.pdf
